score,date,league,matchup,time,watched
5,2026-04-19,UFC,Mark Vologdin @ John Castaneda,23:00,false
29,2026-04-19,ENG.1,Burnley @ Nottingham Forest,15:00,false
16,2026-04-19,NPB,Rakuten @ Lotte,11:00,false
5,2026-04-19,UFC,Melissa Croden @ Daria Zhelezniakova,23:00,false
71,2026-04-19,NBA,Philadelphia 76ers @ Boston Celtics,19:00,false
31,2026-04-19,ENG.1,Sunderland @ Aston Villa,15:00,false
30,2026-04-19,MLB,Atlanta Braves @ Philadelphia Phillies,01:20,false
5,2026-04-19,UFC,Jai Herbert @ Mandel Nallo,23:00,false
56,2026-04-20,NBA,Toronto Raptors @ Cleveland Cavaliers,01:00,true
30,2026-04-20,ENG.1,West Ham United @ Crystal Palace,21:00,false
25,2026-04-20,F1,STC Saudi Arabian Grand Prix @ Unknown Circuit,15:30,false
22,2026-04-20,ITA.1,Fiorentina @ Lecce,20:45,false
5,2026-04-20,UFC,Marcus Buchecha @ Ryan Spann,23:00,false
5,2026-04-20,UFC,Adrian Luna Martinetti @ Davey Grant,23:00,false
5,2026-04-20,UFC,Norma Dumont @ Joselyne Edwards,23:00,false
30,2026-04-20,MLB,Houston Astros @ Cleveland Guardians,00:10,false
16,2026-04-20,ABA,FMP @ Vienna,20:00,false
16,2026-04-20,NPB,Yomiuri @ Chunichi,11:00,false
5,2026-04-20,UFC,Montel Jackson @ Raoni Barcelos,23:00,false
44,2026-04-20,NHL,Ottawa Senators @ Carolina Hurricanes,01:30,false
45,2026-04-20,MLB,Detroit Tigers @ Boston Red Sox,17:10,false
5,2026-04-20,UFC,Talita Alencar @ Julia Polastri,23:00,false
16,2026-04-20,ABA,Mega @ Split,20:00,false
16,2026-04-20,NPB,Nippon-Ham @ Rakuten,11:00,false
29,2026-04-20,MLB,Baltimore Orioles @ Kansas City Royals,01:40,false
31,2026-04-20,MLB,Atlanta Braves @ Washington Nationals,00:45,false
16,2026-04-20,NPB,Hiroshima @ Yakult,11:00,false
5,2026-04-20,UFC,Michelle Montague @ Mayra Bueno Silva,23:00,false
5,2026-04-20,UFC,Rodolfo Vieira @ Eric McConico,23:00,false
5,2026-04-20,UFC,Rafa Garcia @ Alexander Hernandez,23:00,false
5,2026-04-20,UFC,Youssef Zalal @ Aljamain Sterling,23:00,false
20,2026-04-20,Turkish Süper Lig,Kayserispor @ Gaziantep FK,19:00,false
31,2026-04-20,MLB,Cincinnati Reds @ Tampa Bay Rays,00:40,false
30,2026-04-20,MLB,St. Louis Cardinals @ Miami Marlins,00:40,false
22,2026-04-20,Portuguese Primeira Liga,Estoril @ Moreirense,21:15,false
16,2026-04-20,NPB,Lotte @ Orix,11:00,false
16,2026-04-20,NPB,Seibu @ SoftBank,11:00,false
5,2026-04-20,UFC,Lucas Rocha @ Jafel Filho,23:00,false
30,2026-04-20,MLB,Philadelphia Phillies @ Chicago Cubs,01:40,false
43,2026-04-20,NHL,Philadelphia Flyers @ Pittsburgh Penguins,01:00,false
16,2026-04-20,NPB,DeNA @ Hanshin,11:00,false
5,2026-04-20,UFC,Jackson McVey @ Sedriques Dumas,23:00,false
